apache/hadoop;23913
mockito/mockito;5260
scribejava/scribejava;1145
zxing/zxing;3535
apache/dubbo;4327
clojure/clojure;3298
bigbluebutton/bigbluebutton;26942
apache/commons-lang;5734
apache/commons-io;2358
apache/groovy;17202
elastic/elasticsearch;52804
ReactiveX/RxJava;5750
google/guava;5274
spring-projects/spring-framework;20933
netty/netty;9880
google/gson;1485
SeleniumHQ/selenium;25269
libgdx/libgdx;14161
apache/kafka;7656
google/ExoPlayer;7946
jenkinsci/jenkins;30023
bazelbuild/bazel;26335
dbeaver/dbeaver;16159
apache/flink;22428
brettwooldridge/HikariCP;2728
oracle/graal;44950
junit-team/junit4;2432
antlr/antlr4;7448
neo4j/neo4j;68479
