repo_owner_and_name;hash;commits;contributors;stargazers_count;forks;created_at;clone_url;description
antlr/antlr4;0b35a76e9b0931465afe9021058cf4deb0328b4d;7448;194;7848;1950;2010-02-04T01:36:28Z;https://github.com/antlr/antlr4.git;ANTLR (ANother Tool for Language Recognition) is a powerful parser generator for reading, processing, executing, or translating structured text or binary files.
apache/commons-io;cd7787277b170d5f439df03850ca0c574566e539;2358;57;696;455;2009-05-21T01:38:37Z;https://github.com/apache/commons-io.git;Mirror of Apache Commons IO
apache/commons-lang;115a6c64bc6dad12edaf3c5deaac7bffa0fa3b86;5734;139;1930;1177;2009-05-21T01:24:46Z;https://github.com/apache/commons-lang.git;Mirror of Apache Commons Lang
apache/dubbo;da6c3ebf5c2aa529c0732d4f354d0d390a471bac;4327;302;32568;21218;2012-06-19T07:56:02Z;https://github.com/apache/dubbo.git;Apache Dubbo is a high-performance, java based, open source RPC framework.
apache/flink;674817c1cdd6a15dc4638d2be26faebee000cecf;22428;676;13177;7111;2014-06-07T07:00:10Z;https://github.com/apache/flink.git;Apache Flink
apache/groovy;57a4887028304dc088de1063fb59d32c75c4f7cc;17202;302;3700;1450;2015-04-16T07:00:05Z;https://github.com/apache/groovy.git;Apache Groovy: A powerful multi-faceted programming language for the JVM platform
apache/hadoop;3ca15292c5584ec220b3eeaf76da85d228bcbd8b;23913;253;10510;6506;2014-08-28T07:00:08Z;https://github.com/apache/hadoop.git;Apache Hadoop
apache/kafka;d4ef46c69dbc525f55a6d9ae5c9ae6da795f98fb;7656;341;15950;8465;2011-08-15T18:06:16Z;https://github.com/apache/kafka.git;Mirror of Apache Kafka
bazelbuild/bazel;1af65cf2ca952671ab483921f240bbc6bf106725;26335;568;14799;2552;2014-06-12T16:00:38Z;https://github.com/bazelbuild/bazel.git;a fast, scalable, multi-language and extensible build system
bigbluebutton/bigbluebutton;18bb82f764d88af25407748135ec84938a9282fa;26942;111;4815;4677;2010-05-25T01:42:41Z;https://github.com/bigbluebutton/bigbluebutton.git;Complete open source web conferencing system.
brettwooldridge/HikariCP;8a28f6ebb36a8d44e25333ee4ecb2c8fd3eea99f;2728;97;13096;2038;2013-10-08T05:43:03Z;https://github.com/brettwooldridge/HikariCP.git;光 HikariCP・A solid, high-performance, JDBC connection pool at last.
clojure/clojure;30a36cbe0ef936e57ddba238b7fa6d58ee1cbdce;3298;143;8399;1305;2010-06-29T20:03:33Z;https://github.com/clojure/clojure.git;The Clojure programming language
dbeaver/dbeaver;2aa7f923c325dce26a03a4be21e066d36ad9ff94;16159;131;13717;1248;2015-10-21T08:26:28Z;https://github.com/dbeaver/dbeaver.git;Free universal database tool and SQL client
elastic/elasticsearch;853dd1b873d02d04231c32722d4784c9da1068dc;52804;356;49249;16898;2010-02-08T13:20:56Z;https://github.com/elastic/elasticsearch.git;Open Source, Distributed, RESTful Search Engine
google/ExoPlayer;6bfdf8f8f65a2d7a03d90e5e2e3bcdf80af31a94;7946;157;15660;4697;2014-06-13T21:19:18Z;https://github.com/google/ExoPlayer.git;An extensible media player for Android
