,#10,#8,#5,#11,#13,#4,#6,#12,#7,#9
Batch Size,512.0,256.0,512.0,32.0,32.0,256.0,32.0,64.0,64.0,128.0
Dropout Rate,0.1164,0.0421,0.0947,0.0276,0.121,0.1358,0.0648,0.1676,0.09,0.0877
Embedding Dim,128.0,80.0,128.0,48.0,48.0,32.0,112.0,64.0,32.0,96.0
Latent Dim,768.0,256.0,640.0,640.0,256.0,384.0,1024.0,256.0,384.0,1024.0
Learning Rate,0.0032,0.0023,0.0003,0.0018,0.0013,0.0052,0.0036,0.0001,0.0004,0.0062
Max Input Seq Length,175.0,175.0,150.0,175.0,125.0,50.0,75.0,100.0,75.0,150.0
Max Output Seq Length,6.0,5.0,7.0,7.0,7.0,8.0,8.0,7.0,6.0,8.0
Vocabulary Size,7000.0,3000.0,2000.0,2000.0,5000.0,4000.0,6000.0,7000.0,5000.0,6000.0
Epoch,10,32,40,11,21,32,6,35,4,4
Test Rouge L F1,0.5829,0.5684,0.5654,0.5607,0.5558,0.5295,0.4766,0.4536,0.3531,0.3242
Test Rouge 1 F1,0.584,0.5694,0.5672,0.5625,0.5575,0.531,0.4781,0.4551,0.3538,0.3243
Test Rouge 2 F1,0.3369,0.3241,0.3196,0.3107,0.3099,0.2896,0.2401,0.2013,0.1226,0.0267
Test Rouge 3 F1,0.1642,0.1547,0.1461,0.1435,0.1461,0.1335,0.1024,0.0671,0.0293,0.001
