"epoch","rs_1_19 - _step","rs_1_19 - rouge_L_f1","rs_1_18 - _step","rs_1_18 - rouge_L_f1","rs_1_17 - _step","rs_1_17 - rouge_L_f1","rs_1_16 - _step","rs_1_16 - rouge_L_f1","rs_1_15 - _step","rs_1_15 - rouge_L_f1","rs_1_14 - _step","rs_1_14 - rouge_L_f1","rs_1_03 - _step","rs_1_03 - rouge_L_f1","rs_1_02 - _step","rs_1_02 - rouge_L_f1","rs_1_01 - _step","rs_1_01 - rouge_L_f1","rs_1_00 - _step","rs_1_00 - rouge_L_f1"
"1","4950","0.11910769525613271","2475","0.24305415487991233","4950","0.19040192099567088","2475","0.12413579791420692","1237","0.3068116258793836","4950","0.1355358985325845","618","0.08208480674846175","9901","0.2553582813604692","4950","0.13479240695646894","1237","0.08018679329791466"
"2","9903","0.184676452020202","4953","0.4425248913719555","9903","0.3804712038540163","4953","0.1951676241126996","2477","0.4834405044606772","9903","0.2149263825575386","1239","0.1519571987243504","19805","0.3532073404682551","9903","0.20050032693001413","2477","0.13172801289322475"
"3","14856","0.2250280520983641","7431","0.5016971240039425","14856","0.45896112539081374","7431","0.26465250243233185","3717","0.5287967744001902","14856","0.26330947154171525","1860","0.17732032348684185","29709","0.36855029599583483","14856","0.22520818552589367","3717","0.15794163375059417"
"4","19809","0.26332575006012454","9909","0.5340157194096583","19809","0.48669579475308794","9909","0.3205509301392356","4957","0.5546754513307453","19809","0.3035056282977692","2481","0.20300092740147946","39613","0.37433939753560147","19809","0.24429898814534365","4957","0.17825268314670603"
"5","24762","0.2951473327020198","12387","0.5562536349382944","24762","0.5033766296396507","12387","0.36758489134672856","6197","0.5717911931408085","24762","0.3326505546309054","3102","0.2381762856971924","49517","0.3739227917394091","24762","0.26142293971460656","6197","0.1878542694246326"
"6","29715","0.3216346613455991","14865","0.5725707689038648","29715","0.5145675467472325","14865","0.4053772722262313","7437","0.5847952260052159","29715","0.3569701318515234","3723","0.2766449432683127","59421","0.3660380925928611","29715","0.27679391634600053","7437","0.1989037863788394"
"7","34668","0.3428214097823466","17343","0.5849981178245857","34668","0.523286393197851","17343","0.43446790722429995","8677","0.5948842816481882","34668","0.376792558749471","4344","0.3110009017394388","69325","0.35039083353773814","34668","0.2929843173801511","8677","0.21392792437074865"
"8","39621","0.36023378502284736","19821","0.5950791221615098","39621","0.5294490039281723","19821","0.4588820879247026","9917","0.6030201483824636","39621","0.39338345497270744","4965","0.34114848004695547","79229","0.3390735092895864","39621","0.30871998256373234","9917","0.22845496088859887"
"9","44574","0.3761374909812419","22299","0.602813391784984","44574","0.5344322879088507","22299","0.47934948340275035","11157","0.6068022087447551","44574","0.4072237634962537","5586","0.3662386054833813","undefined","undefined","44574","0.32234318256974437","11157","0.2432529836323827"
"10","49527","0.3891016263828753","24777","0.6100837014066195","49527","0.5381275365259737","24777","0.4975871133548686","12397","0.6125690025972499","49527","0.4200999197649285","6207","0.3886602946851162","undefined","undefined","49527","0.33479200862794606","12397","0.2565318311280228"
"11","54480","0.4008786713864841","27255","0.6154770142525836","54480","0.5419161631192888","27255","0.5139356034415222","13637","0.616126051711611","54480","0.4310684419046169","6828","0.4078381079461939","undefined","undefined","54480","0.346870007114799","13637","0.26979646040614524"
"12","59433","0.41147227107383255","29733","0.6206604399738881","59433","0.5445543643278002","29733","0.5292128356527044","14877","0.6132133451286241","59433","0.4417355428837427","7449","0.4242923967701634","undefined","undefined","59433","0.3575386278459197","14877","0.2825782783107714"
"13","64386","0.42076070226070167","32211","0.6247989423945878","64386","0.5471408091329969","32211","0.5430642698175842","16117","0.45102253165059464","64386","0.45125323559367053","8070","0.4385195758060117","undefined","undefined","64386","0.3680249957411414","16117","0.29392401389452005"
"14","69339","0.4293631553631566","34689","0.629394386696707","69339","0.5489033627445088","34689","0.5557752719975718","17357","0.3067269844477813","69339","0.45995394295133685","8691","0.4504651684260963","undefined","undefined","69339","0.377220831830206","17357","0.3050848760298918"
"15","74292","0.43758868446368426","37167","0.6324850159923564","74292","0.5498730885241322","37167","0.5679427954463472","18597","0.28979214184663366","74292","0.4680475048327798","9312","0.4607643160633524","undefined","undefined","74292","0.3863186891233768","18597","0.315138681692561"
"16","79245","0.44510893909331395","39645","0.634925114211335","79245","0.5530984385020828","39645","0.578950827380042","undefined","undefined","79245","0.47563476075691824","9933","0.4696896826748824","undefined","undefined","79245","0.394367847623057","19837","0.3241460240134741"
"17","84198","0.4513811102092354","42123","0.6382106789377158","84198","0.5537343775052107","42123","0.5900708596608215","undefined","undefined","84198","0.4829475778938366","10554","0.4778822129974566","undefined","undefined","84198","0.402168346410534","21077","0.33221808986109275"
"18","89151","0.45828278694684843","44601","0.640986724125691","89151","0.5550223239337816","44601","0.5999634005777477","undefined","undefined","89151","0.4897095072523593","11175","0.48512800798668115","undefined","undefined","89151","0.4088361792528459","22317","0.340286508137076"
"19","94104","0.4647873677248669","47079","0.6438157157096546","94104","0.5566852490680622","47079","0.6100876060842914","undefined","undefined","94104","0.4963105255522403","11796","0.49189644849227515","undefined","undefined","94104","0.4150722415123459","23557","0.3474124643868104"
"20","99057","0.4704270683020683","49557","0.6456770057155949","99057","0.5567942633177013","49557","0.6191265194103719","undefined","undefined","99057","0.5024242673624769","12417","0.4974333700132962","undefined","undefined","99057","0.4208735620089788","24797","0.35389631986070846"
"21","104010","0.47627448593073585","52035","0.6485061588856561","104010","0.5591215089886965","52035","0.6276986106100684","undefined","undefined","104010","0.5068830884148121","13038","0.502938205775214","undefined","undefined","104010","0.42596943392255826","26037","0.3601050717603495"
"22","108963","0.4814521855459357","54513","0.650392600586494","108963","0.5595916205707874","54513","0.6358068346934347","undefined","undefined","108963","0.513472370712901","13659","0.5081675131835367","undefined","undefined","108963","0.43095469701980094","27277","0.3661936243506454"
"23","113916","0.48648780212842624","56991","0.6522362619931273","113916","0.5602806011503926","56991","0.6435395101356262","undefined","undefined","113916","0.5181577756733997","14280","0.5125630623713059","undefined","undefined","113916","0.43552731932419303","28517","0.3716802479651737"
"24","118869","0.49138289517195827","59469","0.6549810125865986","118869","0.5614292603615522","59469","0.6510380286450368","undefined","undefined","118869","0.5238417239676708","14901","0.5171194292738395","undefined","undefined","118869","0.4401514187008971","29757","0.3770265872553887"
"25","123822","0.4957767481361242","61947","0.6561302961558648","123822","0.5619232716550417","61947","0.6586942408391272","undefined","undefined","123822","0.5285715788840782","15522","0.5213057146127061","undefined","undefined","123822","0.4442602024711399","30997","0.3823073334725771"
"26","128775","0.5003385191197691","64425","0.6580326890859561","128775","0.5625897930194805","64425","0.6651139194524616","undefined","undefined","128775","0.5336303521552106","16143","0.525007826988922","undefined","undefined","128775","0.44798853490259816","32237","0.38672690530369824"
"27","133728","0.5046696353415084","66903","0.6601665784411993","133728","0.5632302489177486","66903","0.6716606091807326","undefined","undefined","133728","0.5382001838824746","16764","0.5281819540693934","undefined","undefined","133728","0.4517666057900439","33477","0.39194906822341513"
"28","138681","0.5088677173520935","69381","0.6618355129280796","138681","0.5640442119608778","69381","0.6772969794217432","undefined","undefined","138681","0.5427843733146752","17385","0.5315891394004543","undefined","undefined","138681","0.4554742614638436","34717","0.39654292804752916"
"29","143634","0.5130637325637314","71859","0.6628601455975982","143634","0.5607673999418783","71859","0.6837863673486312","undefined","undefined","143634","0.5467061401351175","18006","0.5348079669366363","undefined","undefined","143634","0.4591848908229126","35957","0.40151171999575075"
