"epoch","rs_1_09 - _step","rs_1_09 - rouge_L_f1","rs_1_08 - _step","rs_1_08 - rouge_L_f1","rs_1_13 - _step","rs_1_13 - rouge_L_f1","rs_1_12 - _step","rs_1_12 - rouge_L_f1","rs_1_11 - _step","rs_1_11 - rouge_L_f1","rs_1_10 - _step","rs_1_10 - rouge_L_f1","rs_1_07 - _step","rs_1_07 - rouge_L_f1","rs_1_06 - _step","rs_1_06 - rouge_L_f1","rs_1_05 - _step","rs_1_05 - rouge_L_f1","rs_1_04 - _step","rs_1_04 - rouge_L_f1"
"1","4950","0.1924461211312537","2475","0.17048971861471843","19803","0.2667976733295898","9901","0.11404036027195946","19803","0.3619124409205917","1237","0.2238607497638137","9901","0.1486180185322787","19803","0.3108673674818958","1237","0.13017046236031524","2475","0.19172702575377745"
"2","9903","0.27266295717645234","4953","0.3019828981782112","39609","0.45136192813699105","19805","0.17418478482157285","39609","0.5053246670359579","2477","0.4567566017434491","19805","0.21969081080274008","39609","0.4302262866767764","2477","0.1968460669033346","4953","0.367195548086173"
"3","14856","0.3060024195869367","7431","0.43582915839947023","59415","0.4895281299251808","29709","0.1929307117601709","59415","0.5249850365931296","3717","0.5240237871181722","29709","0.27745093213488137","59415","0.4556943112820067","3717","0.23999402247479154","7431","0.4302487306902553"
"4","19809","0.31745275201264767","9909","0.491411473364598","79221","0.506743026859298","39613","0.20943091692076996","79221","0.5300355584943152","4957","0.5589081945787776","39613","0.3261827897274286","79221","0.46640624782359696","4957","0.28874610227571673","9909","0.45463201936426334"
"5","24762","0.279705976665729","12387","0.5164806059102942","99027","0.5066063936620988","49517","0.22264603967809493","99027","0.5449986573876424","6197","0.5817531368895239","undefined","undefined","99027","0.47286195487983185","6197","0.33624470284610747","12387","0.46855071828248923"
"6","29715","0.20413385584147864","14865","0.5328527913059166","118833","0.504933914830383","59421","0.23757887463139865","118833","0.5620118478840139","7437","0.597994160348978","undefined","undefined","118833","0.47604253831293414","7437","0.3752137162684196","14865","0.4778791017571799"
"7","34668","0.007440634036277975","17343","0.5451734006734006","138639","0.5249454672035027","69325","0.2534782719230636","138639","0.5678944084850917","8677","0.6095831117831807","undefined","undefined","138639","0.4780728058313826","8677","0.4059433340553082","17343","0.4848012824191793"
"8","39621","0.007441311581936579","19821","0.5544016015812901","158445","0.5302710389389972","79229","0.26758115799153426","158445","0.5741815726673558","9917","0.6191158071222452","undefined","undefined","undefined","undefined","9917","0.4307004255239336","19821","0.49058279435386337"
"9","undefined","undefined","22299","0.5611573735870597","178251","0.5350492321635406","undefined","undefined","178251","0.5716399939931396","11157","0.6263459272064402","undefined","undefined","undefined","undefined","11157","0.4526978410971941","22299","0.49434496987124915"
"10","undefined","undefined","24777","0.5674334641053371","198057","0.5382191497095985","99037","0.29381741365237257","198057","0.5876981207717072","12397","0.6320970822245804","undefined","undefined","undefined","undefined","12397","0.4713584148293411","24777","0.4980337774861918"
"11","undefined","undefined","27255","0.5726525072150079","217863","0.54099996505077","108941","0.3052841793568746","217863","0.5930627326942771","13637","0.581814559413937","undefined","undefined","undefined","undefined","13637","0.4878037505233002","27255","0.5009956537394983"
"12","undefined","undefined","29733","0.5764293342652712","237669","0.5437129150614768","118845","0.31667627898682477","237669","0.5877208559870287","14877","0.5594720735530467","undefined","undefined","undefined","undefined","14877","0.5025044065559967","29733","0.5034534120393502"
"13","undefined","undefined","32211","0.5797319775132278","257475","0.5454496420195293","128749","0.3268894813660648","257475","0.08467852373202825","16117","0.5779091139116656","undefined","undefined","undefined","undefined","16117","0.5146398738483774","32211","0.5055458050209469"
"14","undefined","undefined","34689","0.5830379877645514","277281","0.5477628293771207","138653","0.3371602951561739","277281","0.04760039721432841","17357","0.5878352925985811","undefined","undefined","undefined","undefined","17357","0.5256591248069024","34689","0.5072581114172019"
"15","undefined","undefined","37167","0.5857145750661394","297087","0.546197485255015","148557","0.34662420635649294","297087","0.047598780345712216","undefined","undefined","undefined","undefined","undefined","undefined","18597","0.5355876798493294","37167","0.5090116400767427"
"16","undefined","undefined","39645","0.587680149711398","316893","0.549015293880653","158461","0.3552870163354568","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","19837","0.5444370009607867","39645","0.5101830231794731"
"17","undefined","undefined","42123","0.5896955154220782","336699","0.5510133907644734","168365","0.3632050933616896","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","21077","0.5530751249001526","42123","0.5117164052890856"
"18","undefined","undefined","44601","0.5913592585076966","356505","0.5530345817376213","178269","0.36970173856733596","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","22317","0.5606235496029199","44601","0.5133728606900955"
